Pattern;Replacement
european recovery program;european_recovery_program
european recovery programme;european_recovery_programme
ho chi minh;ho_chi_minh
international socialist conference;international_socialist_conference
labour socialist international;labour_and_socialist_international
social democratic movement;social_democratic_movement
social democratic parties;social_democratic_parties
social democratic party;social_democratic_party
socialist unity party;socialist_unity_party
working class parties;working_class_parties
working class party;working_class_party
world war i;world_war_i
world war ii;world_war_ii
