ID;Title;Author;Country;Issue
SW11;A Message by the Rt. Hon. P.J.- Noel-Baker;Philip Noel-Baker;United Kingdom;June-August 1947
SW12;Notes of the quarter;Editorial Staff;Editorial Staff;June-August 1947
SW13;An Indian Plan for socialism;Jayaprakash Narayan;India;June-August 1947
SW14;Czechoslovakia on the road to socialism;Anonymous;Czechoslovakia;June-August 1947
SW15;Canada and the CCF;David Lewis;Canada;June-August 1947
SW16;American labour trends;Philip Taft;USA;June-August 1947
SW17;The Dutch Labour Party;Koos Vorrink;The Netherlands;June-August 1947
SW21;Notes of the quarter;Editorial Staff;Editorial Staff;September-November 1947
SW22;A new Socialist International;Max Buset;Belgium;September-November 1947
SW23;Italy – Political battleground;Anonymous;Italy;September-November 1947
SW24;The Bund – A Jewish socialist movement;Lujan Blit;Poland;September-November 1947
SW25;Correspondence;Anonymous;USA;September-November 1947
SW26;Britain meets the crisis;Anonymous;United Kingdom;September-November 1947
SW27;Social Democracy in Sweden since the war;Karl Fredriksson;Sweden;September-November 1947
SW28;The radical democratic party of India;V.B. Karnik;India;September-November 1947
SW29;Reviews;Editorial Staff;Editorial Staff;September-November 1947
SW31;Notes of the quarter;Editorial Staff;Editorial Staff;December 1947- February 1948
SW32;Finland since the armistice;Vaino Leskinen;Finland;December 1947- February 1948
SW33;The United States and socialism;Victor Larock;Belgium;December 1947- February 1948
SW34;Poland’s Three-year plan;Anonymous;Poland;December 1947- February 1948
SW35;Socialism in Latin-America;Robert J. Alexander;USA;December 1947- February 1948
SW36;Imperialism – New Style;J.D. Krivine;United Kingdom;December 1947- February 1948
SW37;The Revival of German Social-Democracy;Erich Ollenhauer;West Germany;December 1947- February 1948
SW38;Reviews;Editorial Staff;Editorial Staff;December 1947- February 1948
SW41;Notes of the quarter;Editorial Staff;Editorial Staff;March-May 1948
SW42;International socialist co-operation;Vilém Bernard;Czechoslovakia;March-May 1948
SW43;The Third Force;Oscar Pollak;Austria;March-May 1948
SW44;Holland’s Economic position;G.M. Nederhorst;The Netherlands;March-May 1948
SW45;The Socialist Movement in Greece;A. Gregoroyannis;Greece;March-May 1948
SW46;Social revolution in Hungary;Anonymous (Vilmos Böhm);Hungary;March-May 1948
SW47;Reviews;Editorial Staff;Editorial Staff;March-May 1948
SW51;Notes of the quarter;Editorial Staff;Editorial Staff;June-August 1948
SW52;The problem of the Ruhr;Leon Blum;France;June-August 1948
SW53;Nationalisation in Holland;G.M. Nederhorst;The Netherlands;June-August 1948
SW54;European unity and European reconstruction;Cerilo Spinelli;Italy;June-August 1948
SW55;Spanish socialists fight on;Rodolfo Llopis;Spain;June-August 1948
SW56;The last months of social democracy in Hungary;Antal Ban;Hungary;June-August 1948
SW57;Reviews;Editorial Staff;Editorial Staff;June-August 1948
SW61;Berlin - City of decision;News from Germany – SPD;West Germany;September-November 1948
SW62;International socialist planning;G.M. Nederhorst;The Netherlands;September-November 1948
SW63;Socialism and planning in Austria;Karl Waldbrunner;Austria;September-November 1948
SW64;Norway since liberation;Haakon Lie;Norway;September-November 1948
SW65;Denmark’s economic position;Jorgen Paldam;Denmark;September-November 1948
SW66;Labour’s Contribution to international understanding;Mark Starr;USA;September-November 1948
SW67;The high cost of occupation;Erich Labunde;West Germany;September-November 1948
SW68;The suppression of the Czechoslovak Social Democratic Party;Vilém Bernard;Czechoslovakia;September-November 1948
SW69;Reviews;Editorial Staff;Editorial Staff;September-November 1948
SW71;Notes of the quarter;Editorial Staff;Editorial Staff;December 1948- February 1949
SW72;Labour’s Colonial Policy;H.D. Hughes;United Kingdom;December 1948- February 1949
SW73;French policy in Indo-China;Georges Brutelle;France;December 1948- February 1949
SW74;Berlin fights for freedom;Kurt Mattick;West Germany;December 1948- February 1949
SW75;Some aspects of Western Union;Jean Weiller;France;December 1948- February 1949
SW76;Austria’s Economic Future;Karl Waldbrunner;Austria;December 1948- February 1949
SW77;Economic Development in Iceland;Gylfi Gislason;Iceland;December 1948- February 1949
SW78;Reviews;Editorial Staff;Editorial Staff;December 1948- February 1949
